[2025-07-15 22:00:50,106][ERROR] getTransform error from:base_link to:map error:"map" passed to lookupTransform argument target_frame does not exist. 
[2025-07-15 22:00:50,141][ERROR] getTransform error from:base_link to:map error:"map" passed to lookupTransform argument target_frame does not exist. 
[2025-07-15 22:00:50,176][ERROR] getTransform error from:base_link to:map error:"map" passed to lookupTransform argument target_frame does not exist. 
[2025-07-15 22:00:50,210][INFO] Received image. Encoding: bgr8
[2025-07-15 22:00:50,210][INFO] Image dimensions: 640x480
[2025-07-15 22:00:50,214][ERROR] getTransform error from:base_link to:map error:"map" passed to lookupTransform argument target_frame does not exist. 
[2025-07-15 22:00:50,252][ERROR] getTransform error from:base_link to:map error:"map" passed to lookupTransform argument target_frame does not exist. 
[2025-07-15 22:00:50,287][ERROR] getTransform error from:base_link to:map error:"map" passed to lookupTransform argument target_frame does not exist. 
[2025-07-15 22:00:50,337][ERROR] getTransform error from:base_link to:map error:"map" passed to lookupTransform argument target_frame does not exist. 
[2025-07-15 22:00:50,374][ERROR] getTransform error from:base_link to:map error:"map" passed to lookupTransform argument target_frame does not exist. 
[2025-07-15 22:00:50,410][ERROR] getTransform error from:base_link to:map error:"map" passed to lookupTransform argument target_frame does not exist. 
[2025-07-15 22:00:50,447][ERROR] getTransform error from:base_link to:map error:"map" passed to lookupTransform argument target_frame does not exist. 
[2025-07-15 22:00:50,482][ERROR] getTransform error from:base_link to:map error:"map" passed to lookupTransform argument target_frame does not exist. 
[2025-07-15 22:00:50,519][ERROR] getTransform error from:base_link to:map error:"map" passed to lookupTransform argument target_frame does not exist. 
[2025-07-15 22:00:50,554][ERROR] getTransform error from:base_link to:map error:"map" passed to lookupTransform argument target_frame does not exist. 
[2025-07-15 22:00:50,589][ERROR] getTransform error from:base_link to:map error:"map" passed to lookupTransform argument target_frame does not exist. 
[2025-07-15 22:00:50,624][ERROR] getTransform error from:base_link to:map error:"map" passed to lookupTransform argument target_frame does not exist. 
[2025-07-15 22:00:50,659][ERROR] getTransform error from:base_link to:map error:"map" passed to lookupTransform argument target_frame does not exist. 
[2025-07-15 22:00:50,694][ERROR] getTransform error from:base_link to:map error:"map" passed to lookupTransform argument target_frame does not exist. 
[2025-07-15 22:00:50,730][ERROR] getTransform error from:base_link to:map error:"map" passed to lookupTransform argument target_frame does not exist. 
[2025-07-15 22:00:50,766][ERROR] getTransform error from:base_link to:map error:"map" passed to lookupTransform argument target_frame does not exist. 
[2025-07-15 22:00:50,803][ERROR] getTransform error from:base_link to:map error:"map" passed to lookupTransform argument target_frame does not exist. 
[2025-07-15 22:00:50,840][ERROR] getTransform error from:base_link to:map error:"map" passed to lookupTransform argument target_frame does not exist. 
[2025-07-15 22:00:50,875][ERROR] getTransform error from:base_link to:map error:"map" passed to lookupTransform argument target_frame does not exist. 
[2025-07-15 22:00:50,910][ERROR] getTransform error from:base_link to:map error:"map" passed to lookupTransform argument target_frame does not exist. 
[2025-07-15 22:00:50,945][ERROR] getTransform error from:base_link to:map error:"map" passed to lookupTransform argument target_frame does not exist. 
[2025-07-15 22:00:50,981][ERROR] getTransform error from:base_link to:map error:"map" passed to lookupTransform argument target_frame does not exist. 
[2025-07-15 22:00:51,017][ERROR] getTransform error from:base_link to:map error:"map" passed to lookupTransform argument target_frame does not exist. 
[2025-07-15 22:00:51,053][ERROR] getTransform error from:base_link to:map error:"map" passed to lookupTransform argument target_frame does not exist. 
[2025-07-15 22:00:51,089][INFO] Received image. Encoding: bgr8
[2025-07-15 22:00:51,089][INFO] Image dimensions: 640x480
[2025-07-15 22:00:51,091][ERROR] getTransform error from:base_link to:map error:"map" passed to lookupTransform argument target_frame does not exist. 
[2025-07-15 22:00:51,125][ERROR] getTransform error from:base_link to:map error:"map" passed to lookupTransform argument target_frame does not exist. 
[2025-07-15 22:00:51,162][ERROR] getTransform error from:base_link to:map error:"map" passed to lookupTransform argument target_frame does not exist. 
